id_vendedor;nome_vendedor;categorias_atendidas;qtde_distinta_produtos;media_preco;qtde_disponivel_estoque;total_valor_estoque_usd;reputacao;status_vendedor;total_transacoes;vendas_estimativa
21392132;FERRETERIALAUNIONMERLO;1;1;327,92;1;327,92;5_green;gold;1268;415802,56
21459689;-MILYON-;2;2;27,479999999999997;101;2585,28;5_green;platinum;14268;392084,63999999996
21497735;FG STORE.OK;3;5;42,465999999999994;452;23776,26;5_green;platinum;59708;2535559,928
21521367;LOLLIPOP GOLOSINAS;1;7;10,219999999999999;6451;50922,72;5_green;platinum;90868;928670,9599999998
21605892;LIC.MARCELOPICCO;1;1;21,6;1;21,6;;;0;0,0
21754928;RH_AUDIO;1;1;14,01;1;14,01;5_green;silver;651;9120,51
21842287;VESASOPORTES;2;2;7,8;300;1979,8;5_green;platinum;34171;266533,8
22118003;GOLDENCR;1;2;0,6;2;1,2;5_green;;11;6,6
22210282;PUGLIESEINMOBILIARIA;1;2;53,4;2;106,8;;;0;0,0
22350002;CALZADOS TRIBYLYN;1;4;17,1225;1000;17929,86;5_green;platinum;42521;728065,8224999999
22661295;STAR.COMPUTACION;1;1;49,01;1;49,01;5_green;;3319;162664,19
22754716;ENERGY RENTAL;1;1;12,0;1;12,0;4_light_green;;5;60,0
22779161;VOIP EXPERTS;4;10;92,161;704;45480,549999999996;5_green;platinum;33756;3110986,716
22783057;MARTINCAILA;1;1;0,0;1;0,0;4_light_green;;34;0,0
22974880;TIENDALIDCO;1;1;6,0;500;3000,0;5_green;platinum;2831;16986,0
23028252;MTTRASLADOS;1;4;0,0;4;0,0;5_green;;62;0,0
23503118;AG AUTOMOTORES;1;3;15282,0;3;45846,0;;;0;0,0
23514436;FERRETERIA LAVALLE;1;1;43,08;1;43,08;5_green;platinum;13592;585543,36
23626261;SIBILIA PEDALBOARD;1;1;231,0;1;231,0;5_green;gold;1396;322476,0
23676682;SEGURIDAD MASTER;1;1;0,0;1;0,0;5_green;;20;0,0
23678438;AGUIRREFAB2010;1;1;0,9;1;0,9;;;1;0,9
23687896;CANTARES-PRODUCTOS;1;1;17,99;50;899,55;5_green;platinum;11845;213091,55
23702412;LENCERIA CAMILA;1;2;12,395;500;6195,42;5_green;platinum;49875;618200,625
23742253;SHIPIN.AR;4;5;68,732;303;24111,27;5_green;platinum;53114;3650631,448
23997346;MUEBLES.ZARATE;1;1;22,2;1;22,2;;;0;0,0
24130549;NICHUE;1;1;84,0;1;84,0;4_light_green;;3;252,0
24209295;HURLINGMUSIC;1;3;18,336666666666666;3;55,01;5_green;platinum;6175;113228,91666666666
24217372;FUNNYKIDS.COM.AR;1;1;0,0;1;0,0;;;0;0,0
24331722;INFLANAT;1;1;0,0;1;0,0;;;0;0,0
24392388;SEBABORRAS;1;1;48,0;1;48,0;;;1;48,0
24427692;NEBUMUNDO;1;3;16,2;3;48,6;4_light_green;;50;810,0
24492655;CHULY992010;1;1;0,0;1;0,0;;;1;0,0
24521753;MEGA_IMPORT;1;1;57,59;1;57,59;5_green;platinum;8155;469646,45
24613228;TOTAL COVER;2;2;28,7;200;4630,83;5_green;platinum;22170;636279,0
24778646;AUGUSTO CURTI;1;1;35,88;1;35,88;;;0;0,0
24792864;TOTEM STANDS;1;1;86,3;1;86,3;5_green;platinum;5813;501661,89999999997
24833346;CORTINASPVC;1;1;0,0;1;0,0;5_green;;166;0,0
25264412;INSUMO24;1;1;211,2;1;211,2;5_green;silver;517;109190,4
25300549;ANDRESYEYO;1;1;54,0;1;54,0;;;0;0,0
25385229;PIME SA;1;2;9,795;151;1808,48;5_green;platinum;9452;92582,34
25445013;FERNANDAC_15;1;2;5,88;2;11,76;5_green;;64;376,32
